race_id,race_date,venue,race_no,car_no,rider_name_raw,class,style,competition_score,S,B,nige,makuri,sashi,mark,source_url,source_file_sha256,evidence_role
3420260830010003,2026-08-30,川崎,3,5,法月 成祐 神奈川/52/77,A1,追,3.92,1,0,0,1,5,7,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010003/,559f250137d403bf784ebdfbec6069ac15b75d36e18d08b46ba9ed1cf5c518fa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010003,2026-08-30,川崎,3,6,鈴木 豪 福 島/39/105,A2,両,3.85,1,5,1,0,0,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010003/,559f250137d403bf784ebdfbec6069ac15b75d36e18d08b46ba9ed1cf5c518fa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010003,2026-08-30,川崎,3,7,村上 卓茂 愛 知/48/84,A2,追,3.92,6,0,0,0,4,4,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010003/,559f250137d403bf784ebdfbec6069ac15b75d36e18d08b46ba9ed1cf5c518fa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010004,2026-08-30,川崎,4,1,杉山 剛 福 岡/49/86,A2,両,3.92,2,1,0,0,4,3,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010004/,3530fea84bf0490ee7aba317e7e977855dc291a663c0edf260e77cc429108224,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010004,2026-08-30,川崎,4,2,木村 優駿 埼 玉/20/127,A2,逃,3.77,13,22,16,1,0,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010004/,3530fea84bf0490ee7aba317e7e977855dc291a663c0edf260e77cc429108224,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010004,2026-08-30,川崎,4,3,藤原 浩 高 知/47/87,A1,追,3.92,0,0,0,0,4,3,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010004/,3530fea84bf0490ee7aba317e7e977855dc291a663c0edf260e77cc429108224,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010004,2026-08-30,川崎,4,4,石坂 永伍 岡 山/39/93,A1,両,3.92,3,2,1,0,8,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010004/,3530fea84bf0490ee7aba317e7e977855dc291a663c0edf260e77cc429108224,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010004,2026-08-30,川崎,4,5,國廣 哲治 埼 玉/51/84,A2,追,3.92,0,0,0,0,2,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010004/,3530fea84bf0490ee7aba317e7e977855dc291a663c0edf260e77cc429108224,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010004,2026-08-30,川崎,4,6,山崎 翼 大 分/37/95,A1,逃,3.92,1,4,0,2,1,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010004/,3530fea84bf0490ee7aba317e7e977855dc291a663c0edf260e77cc429108224,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010004,2026-08-30,川崎,4,7,岡崎 陸登 愛 媛/28/123,A1,逃,3.92,10,11,9,3,3,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010004/,3530fea84bf0490ee7aba317e7e977855dc291a663c0edf260e77cc429108224,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010005,2026-08-30,川崎,5,1,池田 勇人 埼 玉/41/90,A1,追,3.93,4,1,1,0,6,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010005/,efe92b349a7274e16e5b116e700d6f636354e0d1d1ab754d175d3fa910d02942,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010005,2026-08-30,川崎,5,2,齊藤 英伊須 青 森/22/125,A1,逃,3.92,8,20,13,6,0,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010005/,efe92b349a7274e16e5b116e700d6f636354e0d1d1ab754d175d3fa910d02942,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010005,2026-08-30,川崎,5,3,竹内 翼 広 島/35/109,A1,逃,3.92,0,12,6,6,1,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010005/,efe92b349a7274e16e5b116e700d6f636354e0d1d1ab754d175d3fa910d02942,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010005,2026-08-30,川崎,5,4,小笹 隼人 奈 良/36/105,A1,両,3.92,3,0,0,0,5,4,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010005/,efe92b349a7274e16e5b116e700d6f636354e0d1d1ab754d175d3fa910d02942,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010005,2026-08-30,川崎,5,5,真船 圭一郎 福 島/38/94,A1,両,3.93,5,2,1,2,6,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010005/,efe92b349a7274e16e5b116e700d6f636354e0d1d1ab754d175d3fa910d02942,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010005,2026-08-30,川崎,5,6,吉川 希望 石 川/33/111,A1,逃,3.92,5,6,3,5,4,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010005/,efe92b349a7274e16e5b116e700d6f636354e0d1d1ab754d175d3fa910d02942,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010005,2026-08-30,川崎,5,7,近藤 夏樹 千 葉/39/97,A1,両,3.92,0,0,0,3,3,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010005/,efe92b349a7274e16e5b116e700d6f636354e0d1d1ab754d175d3fa910d02942,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010006,2026-08-30,川崎,6,1,豊岡 英子 大 阪/46/114,L1,両,3.79,1,3,1,2,1,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010006/,eb6c40865babab1f641c39ec9444cbdbbe721f980f8018fa54df27b889cf9fe6,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010006,2026-08-30,川崎,6,2,戸邉 香奈実 茨 城/32/124,L1,両,3.77,3,0,0,0,0,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010006/,eb6c40865babab1f641c39ec9444cbdbbe721f980f8018fa54df27b889cf9fe6,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010006,2026-08-30,川崎,6,3,グロ 外 国/27/999,L1,両,3.79,0,6,3,8,1,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010006/,eb6c40865babab1f641c39ec9444cbdbbe721f980f8018fa54df27b889cf9fe6,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010006,2026-08-30,川崎,6,4,高木 佑真 神奈川/27/116,L1,両,3.79,4,1,0,2,0,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010006/,eb6c40865babab1f641c39ec9444cbdbbe721f980f8018fa54df27b889cf9fe6,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010006,2026-08-30,川崎,6,5,那須 萌美 宮 崎/35/114,L1,両,3.77,5,0,0,5,13,7,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010006/,eb6c40865babab1f641c39ec9444cbdbbe721f980f8018fa54df27b889cf9fe6,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010006,2026-08-30,川崎,6,6,高橋 梨香 埼 玉/46/106,L1,両,3.69,4,2,1,3,2,9,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010006/,eb6c40865babab1f641c39ec9444cbdbbe721f980f8018fa54df27b889cf9fe6,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010006,2026-08-30,川崎,6,7,石井 貴子 東 京/38/104,L1,逃,3.79,10,9,3,1,3,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010006/,eb6c40865babab1f641c39ec9444cbdbbe721f980f8018fa54df27b889cf9fe6,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010007,2026-08-30,川崎,7,1,篠崎 新純 千 葉/41/102,L1,両,3.79,8,2,0,0,0,4,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010007/,5e9d11606914e33235a745b7b8144f48dd9c18f135950dcaea4be22ee7db1eaa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010007,2026-08-30,川崎,7,2,西脇 美唯奈 愛 知/25/120,L1,両,3.79,1,6,2,4,3,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010007/,5e9d11606914e33235a745b7b8144f48dd9c18f135950dcaea4be22ee7db1eaa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010007,2026-08-30,川崎,7,3,鈴木 樹里 福 島/26/116,L1,両,3.77,0,0,0,0,0,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010007/,5e9d11606914e33235a745b7b8144f48dd9c18f135950dcaea4be22ee7db1eaa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010007,2026-08-30,川崎,7,4,ファンデルワウ 外 国/28/999,L1,両,3.79,1,5,1,11,2,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010007/,5e9d11606914e33235a745b7b8144f48dd9c18f135950dcaea4be22ee7db1eaa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010007,2026-08-30,川崎,7,5,五味田 奈穂 千 葉/28/124,L1,逃,3.71,16,8,3,7,0,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010007/,5e9d11606914e33235a745b7b8144f48dd9c18f135950dcaea4be22ee7db1eaa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010007,2026-08-30,川崎,7,6,長澤 彩 福 岡/38/106,L1,両,3.77,2,0,0,0,2,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010007/,5e9d11606914e33235a745b7b8144f48dd9c18f135950dcaea4be22ee7db1eaa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010007,2026-08-30,川崎,7,7,宮地 寧々 岐 阜/31/110,L1,両,3.77,6,5,0,0,3,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010007/,5e9d11606914e33235a745b7b8144f48dd9c18f135950dcaea4be22ee7db1eaa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010008,2026-08-30,川崎,8,1,安倍 大成 埼 玉/27/121,S2,逃,3.92,7,10,4,5,0,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010008/,00f6abd1ea2a693dd8220f2cf250315812654abf21840f7781e14e18b4892aee,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010008,2026-08-30,川崎,8,2,久米 康平 徳 島/34/100,S1,両,3.92,4,2,1,3,1,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010008/,00f6abd1ea2a693dd8220f2cf250315812654abf21840f7781e14e18b4892aee,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010008,2026-08-30,川崎,8,3,谷田 泰平 岐 阜/49/93,S2,追,3.93,4,0,0,0,2,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010008/,00f6abd1ea2a693dd8220f2cf250315812654abf21840f7781e14e18b4892aee,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010008,2026-08-30,川崎,8,4,高市 訓但 愛 媛/38/97,S2,追,3.92,0,0,0,0,3,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010008/,00f6abd1ea2a693dd8220f2cf250315812654abf21840f7781e14e18b4892aee,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010008,2026-08-30,川崎,8,5,山崎 将幸 宮 城/39/92,S2,追,3.92,10,0,0,0,7,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010008/,00f6abd1ea2a693dd8220f2cf250315812654abf21840f7781e14e18b4892aee,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010008,2026-08-30,川崎,8,6,上杉 嘉槻 福 井/28/119,S2,逃,3.92,0,23,5,2,0,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010008/,00f6abd1ea2a693dd8220f2cf250315812654abf21840f7781e14e18b4892aee,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010008,2026-08-30,川崎,8,7,武田 豊樹 茨 城/52/88,S1,追,3.92,1,0,0,0,6,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010008/,00f6abd1ea2a693dd8220f2cf250315812654abf21840f7781e14e18b4892aee,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010009,2026-08-30,川崎,9,1,田中 大我 奈 良/27/115,S2,逃,3.92,1,6,3,6,0,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010009/,70e94c4ac0571992fa0e7b7e42871086d39a6d1288ab7a715a5800c9b0311d6b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010009,2026-08-30,川崎,9,2,佐藤 一伸 福 島/39/94,S2,両,3.92,1,2,0,2,5,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010009/,70e94c4ac0571992fa0e7b7e42871086d39a6d1288ab7a715a5800c9b0311d6b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010009,2026-08-30,川崎,9,3,古川 尚耶 栃 木/41/92,S2,追,3.92,1,0,0,0,6,3,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010009/,70e94c4ac0571992fa0e7b7e42871086d39a6d1288ab7a715a5800c9b0311d6b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010009,2026-08-30,川崎,9,4,中村 龍吉 福 島/26/125,S2,逃,3.92,14,14,9,5,0,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010009/,70e94c4ac0571992fa0e7b7e42871086d39a6d1288ab7a715a5800c9b0311d6b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010009,2026-08-30,川崎,9,5,松村 友和 大 阪/46/88,S2,追,3.92,1,0,0,0,3,4,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010009/,70e94c4ac0571992fa0e7b7e42871086d39a6d1288ab7a715a5800c9b0311d6b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010009,2026-08-30,川崎,9,6,齋藤 雄行 神奈川/31/121,S2,逃,3.92,2,12,3,2,0,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010009/,70e94c4ac0571992fa0e7b7e42871086d39a6d1288ab7a715a5800c9b0311d6b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010009,2026-08-30,川崎,9,7,庄子 信弘 宮 城/47/84,S2,追,3.92,4,0,0,1,5,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010009/,70e94c4ac0571992fa0e7b7e42871086d39a6d1288ab7a715a5800c9b0311d6b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010010,2026-08-30,川崎,10,1,丸山 留依 静 岡/20/127,S2,逃,3.92,6,14,7,6,0,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010010/,2e991d90f81b6ec411ce43395f5fe500ad5c130ff43ebe3999b7ccdac071c2f8,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
